# type,x,y,width,height,assetId
type,x,y,width,height,assetId
bottom,100,10,18,30,obstacle_bottom
top,180,87.5,18,25,obstacle_top
bottom,260,10,18,30,obstacle_bottom
top,340,87.5,18,25,obstacle_top
bottom,420,10,18,30,obstacle_bottom
top,500,87.5,18,25,obstacle_top
bottom,580,10,18,30,obstacle_bottom
top,660,87.5,18,25,obstacle_top
bottom,740,10,18,30,obstacle_bottom
top,820,87.5,18,25,obstacle_top
bottom,900,10,18,30,obstacle_bottom
top,980,87.5,18,25,obstacle_top
bottom,1060,10,18,30,obstacle_bottom
top,1140,87.5,18,25,obstacle_top
bottom,1220,10,18,30,obstacle_bottom
top,1300,87.5,18,25,obstacle_top
bottom,1380,10,18,30,obstacle_bottom
top,1460,87.5,18,25,obstacle_top
bottom,1540,10,18,30,obstacle_bottom
top,1620,87.5,18,25,obstacle_top
bottom,1700,10,18,30,obstacle_bottom
top,1780,87.5,18,25,obstacle_top
bottom,1860,10,18,30,obstacle_bottom
top,1940,87.5,18,25,obstacle_top
bottom,2020,10,18,30,obstacle_bottom
top,2100,87.5,18,25,obstacle_top
bottom,2180,10,18,30,obstacle_bottom
top,2260,87.5,18,25,obstacle_top
bottom,2340,10,18,30,obstacle_bottom
top,2420,87.5,18,25,obstacle_top
bottom,2500,10,18,30,obstacle_bottom
top,2580,87.5,18,25,obstacle_top
bottom,2660,10,18,30,obstacle_bottom
top,2740,87.5,18,25,obstacle_top
bottom,2820,10,18,30,obstacle_bottom
top,2900,87.5,18,25,obstacle_top
bottom,2980,10,18,30,obstacle_bottom
top,3060,87.5,18,25,obstacle_top
bottom,3140,10,18,30,obstacle_bottom
top,3220,87.5,18,25,obstacle_top
bottom,3300,10,18,30,obstacle_bottom
top,3380,87.5,18,25,obstacle_top
bottom,3460,10,18,30,obstacle_bottom
top,3540,87.5,18,25,obstacle_top
bottom,3620,10,18,30,obstacle_bottom
top,3700,87.5,18,25,obstacle_top
bottom,3780,10,18,30,obstacle_bottom
top,3860,87.5,18,25,obstacle_top
bottom,3940,10,18,30,obstacle_bottom
top,4020,87.5,18,25,obstacle_top
bottom,4100,10,18,30,obstacle_bottom
top,4180,87.5,18,25,obstacle_top
bottom,4260,10,18,30,obstacle_bottom
top,4340,87.5,18,25,obstacle_top
bottom,4420,10,18,30,obstacle_bottom
top,4500,87.5,18,25,obstacle_top
bottom,4580,10,18,30,obstacle_bottom
top,4660,87.5,18,25,obstacle_top
bottom,4740,10,18,30,obstacle_bottom
top,4820,87.5,18,25,obstacle_top
bottom,4900,10,18,30,obstacle_bottom
top,4980,87.5,18,25,obstacle_top
bottom,5060,10,18,30,obstacle_bottom
top,5140,87.5,18,25,obstacle_top
bottom,5220,10,18,30,obstacle_bottom
top,5300,87.5,18,25,obstacle_top
bottom,5380,10,18,30,obstacle_bottom
top,5460,87.5,18,25,obstacle_top
bottom,5540,10,18,30,obstacle_bottom
top,5620,87.5,18,25,obstacle_top
bottom,5700,10,18,30,obstacle_bottom
top,5780,87.5,18,25,obstacle_top
bottom,5860,10,18,30,obstacle_bottom
top,5940,87.5,18,25,obstacle_top
bottom,6020,10,18,30,obstacle_bottom
top,6100,87.5,18,25,obstacle_top
bottom,6180,10,18,30,obstacle_bottom
top,6260,87.5,18,25,obstacle_top
bottom,6340,10,18,30,obstacle_bottom
top,6420,87.5,18,25,obstacle_top
bottom,6500,10,18,30,obstacle_bottom
top,6580,87.5,18,25,obstacle_top
bottom,6660,10,18,30,obstacle_bottom
top,6740,87.5,18,25,obstacle_top
bottom,6820,10,18,30,obstacle_bottom
top,6900,87.5,18,25,obstacle_top
bottom,6980,10,18,30,obstacle_bottom
top,7060,87.5,18,25,obstacle_top
bottom,7140,10,18,30,obstacle_bottom
top,7220,87.5,18,25,obstacle_top
bottom,7300,10,18,30,obstacle_bottom
top,7380,87.5,18,25,obstacle_top
bottom,7460,10,18,30,obstacle_bottom
top,7540,87.5,18,25,obstacle_top
bottom,7620,10,18,30,obstacle_bottom
top,7700,87.5,18,25,obstacle_top
bottom,7780,10,18,30,obstacle_bottom
top,7860,87.5,18,25,obstacle_top
bottom,7940,10,18,30,obstacle_bottom
top,8020,87.5,18,25,obstacle_top
