# Randomized but reproducible map; seed=20260728
# type,x,y,width,height,assetId
type,x,y,width,height,assetId
top,100,75,18,30,obstacle_top
top,180,71,18,38,obstacle_top
top,260,74,18,32,obstacle_top
top,350,80,18,20,obstacle_top
bottom,440,19,18,38,obstacle_bottom
bottom,540,16,18,32,obstacle_bottom
bottom,650,10,18,20,obstacle_bottom
top,750,76,18,28,obstacle_top
top,870,75,18,30,obstacle_top
bottom,940,19,18,38,obstacle_bottom
top,1050,77,18,26,obstacle_top
bottom,1150,17,18,34,obstacle_bottom
bottom,1250,15,18,30,obstacle_bottom
top,1360,79,18,22,obstacle_top
top,1480,78,18,24,obstacle_top
bottom,1580,11,18,22,obstacle_bottom
top,1700,72,18,36,obstacle_top
bottom,1820,11,18,22,obstacle_bottom
top,1890,71,18,38,obstacle_top
bottom,1960,19,18,38,obstacle_bottom
bottom,2050,17,18,34,obstacle_bottom
top,2160,71,18,38,obstacle_top
top,2270,76,18,28,obstacle_top
bottom,2350,9,18,18,obstacle_bottom
bottom,2420,16,18,32,obstacle_bottom
top,2540,79,18,22,obstacle_top
bottom,2620,17,18,34,obstacle_bottom
bottom,2700,11,18,22,obstacle_bottom
top,2770,71,18,38,obstacle_top
top,2850,80,18,20,obstacle_top
bottom,2960,15,18,30,obstacle_bottom
bottom,3060,13,18,26,obstacle_bottom
bottom,3150,9,18,18,obstacle_bottom
top,3240,80,18,20,obstacle_top
top,3350,73,18,34,obstacle_top
top,3470,71,18,38,obstacle_top
bottom,3570,11,18,22,obstacle_bottom
top,3680,79,18,22,obstacle_top
bottom,3750,11,18,22,obstacle_bottom
top,3850,71,18,38,obstacle_top
bottom,3920,12,18,24,obstacle_bottom
bottom,4010,15,18,30,obstacle_bottom
bottom,4100,17,18,34,obstacle_bottom
bottom,4190,15,18,30,obstacle_bottom
top,4260,78,18,24,obstacle_top
top,4370,77,18,26,obstacle_top
bottom,4460,18,18,36,obstacle_bottom
top,4580,77,18,26,obstacle_top
bottom,4700,15,18,30,obstacle_bottom
top,4790,80,18,20,obstacle_top
top,4870,76,18,28,obstacle_top
bottom,4940,13,18,26,obstacle_bottom
bottom,5050,11,18,22,obstacle_bottom
bottom,5130,13,18,26,obstacle_bottom
bottom,5210,17,18,34,obstacle_bottom
top,5310,71,18,38,obstacle_top
bottom,5430,15,18,30,obstacle_bottom
bottom,5540,15,18,30,obstacle_bottom
bottom,5610,17,18,34,obstacle_bottom
bottom,5730,13,18,26,obstacle_bottom
top,5850,72,18,36,obstacle_top
bottom,5950,13,18,26,obstacle_bottom
bottom,6020,14,18,28,obstacle_bottom
top,6140,81,18,18,obstacle_top
bottom,6220,17,18,34,obstacle_bottom
top,6310,76,18,28,obstacle_top
bottom,6410,12,18,24,obstacle_bottom
bottom,6510,9,18,18,obstacle_bottom
bottom,6610,17,18,34,obstacle_bottom
top,6730,78,18,24,obstacle_top
top,6830,81,18,18,obstacle_top
bottom,6940,12,18,24,obstacle_bottom
top,7040,81,18,18,obstacle_top
top,7120,75,18,30,obstacle_top
bottom,7210,15,18,30,obstacle_bottom
top,7310,72,18,36,obstacle_top
top,7420,78,18,24,obstacle_top
bottom,7500,10,18,20,obstacle_bottom
bottom,7570,16,18,32,obstacle_bottom
bottom,7680,16,18,32,obstacle_bottom
bottom,7780,9,18,18,obstacle_bottom
top,7860,71,18,38,obstacle_top
bottom,7930,9,18,18,obstacle_bottom
top,8020,80,18,20,obstacle_top
bottom,8120,16,18,32,obstacle_bottom
bottom,8230,12,18,24,obstacle_bottom
bottom,8320,18,18,36,obstacle_bottom
bottom,8440,12,18,24,obstacle_bottom
top,8560,75,18,30,obstacle_top
top,8680,72,18,36,obstacle_top
top,8780,75,18,30,obstacle_top
top,8860,77,18,26,obstacle_top
bottom,8960,18,18,36,obstacle_bottom
bottom,9060,11,18,22,obstacle_bottom
bottom,9180,18,18,36,obstacle_bottom
top,9260,81,18,18,obstacle_top
bottom,9350,10,18,20,obstacle_bottom
bottom,9440,19,18,38,obstacle_bottom
top,9560,81,18,18,obstacle_top
bottom,9670,18,18,36,obstacle_bottom
