id,kind,t_host_s,trial,block,phase,last_marker_request_id,last_marker_code,payload_json,name,event_id,code,pulse_ms,t_write_host_s,device_micros,simulated,error
15,marker_request,5.608418200048618,0,1,pre_run,,,"{""name"": ""run_start"", ""code"": 1, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 0, ""block"": 1, ""phase"": ""pre_run"", ""game_phase"": 0, ""tick"": 0, ""phase_blocks"": 0, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.0, ""normalized"": 0.0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0}, ""timing"": ""callOnFlip""}",run_start,,1,10,,,True,
16,marker_ack,5.608482100069523,0,1,pre_run,15,1,"{""event_id"": 15, ""code"": 1, ""t_write_host_s"": 5.608479500049725, ""device_micros"": null, ""simulated"": true}",,15,1,,5.608479500049725,,True,
18,marker_done,5.619433799991384,0,1,pre_run,15,1,"{""event_id"": 15, ""code"": 1, ""device_micros"": null, ""simulated"": true}",,15,1,,,,True,
22,marker_request,5.644639600068331,1,1,prepare,15,1,"{""name"": ""trial_start"", ""code"": 2, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 1, ""block"": 1, ""phase"": ""prepare"", ""game_phase"": 1, ""tick"": 1, ""phase_blocks"": 0, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.0, ""normalized"": 0.0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0}, ""timing"": ""callOnFlip""}",trial_start,,2,10,,,True,
23,marker_ack,5.644700600067154,1,1,prepare,22,2,"{""event_id"": 22, ""code"": 2, ""t_write_host_s"": 5.644698000047356, ""device_micros"": null, ""simulated"": true}",,22,2,,5.644698000047356,,True,
25,marker_done,5.655732900020666,1,1,prepare,22,2,"{""event_id"": 22, ""code"": 2, ""device_micros"": null, ""simulated"": true}",,22,2,,,,True,
38,marker_request,5.762442499981262,1,1,feedback,22,2,"{""name"": ""feedback_start"", ""code"": 3, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 1, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 2, ""phase_blocks"": 0, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.0, ""normalized"": 0.0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0}, ""timing"": ""callOnFlip""}",feedback_start,,3,10,,,True,
39,marker_ack,5.762503499980085,1,1,feedback,38,3,"{""event_id"": 38, ""code"": 3, ""t_write_host_s"": 5.762500999961048, ""device_micros"": null, ""simulated"": true}",,38,3,,5.762500999961048,,True,
41,marker_done,5.773034800076857,1,1,feedback,38,3,"{""event_id"": 38, ""code"": 3, ""device_micros"": null, ""simulated"": true}",,38,3,,,,True,
66,marker_request,6.011120300041512,1,1,result,38,3,"{""name"": ""success"", ""code"": 4, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 1, ""block"": 1, ""phase"": ""result"", ""game_phase"": 4, ""tick"": 4, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}, ""timing"": ""callOnFlip""}",success,,4,10,,,True,
67,marker_ack,6.011179700028151,1,1,result,66,4,"{""event_id"": 66, ""code"": 4, ""t_write_host_s"": 6.011177000007592, ""device_micros"": null, ""simulated"": true}",,66,4,,6.011177000007592,,True,
69,marker_done,6.021418799995445,1,1,result,66,4,"{""event_id"": 66, ""code"": 4, ""device_micros"": null, ""simulated"": true}",,66,4,,,,True,
83,marker_request,6.144408600055613,1,1,iti,66,4,"{""name"": ""trial_end"", ""code"": 6, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 1, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 5, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}, ""timing"": ""callOnFlip""}",trial_end,,6,10,,,True,
85,marker_ack,6.144499000045471,1,1,iti,83,6,"{""event_id"": 83, ""code"": 6, ""t_write_host_s"": 6.144476299989037, ""device_micros"": null, ""simulated"": true}",,83,6,,6.144476299989037,,True,
87,marker_done,6.154618900036439,1,1,iti,83,6,"{""event_id"": 83, ""code"": 6, ""device_micros"": null, ""simulated"": true}",,83,6,,,,True,
101,marker_request,6.276716300053522,2,1,prepare,83,6,"{""name"": ""trial_start"", ""code"": 2, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 2, ""block"": 1, ""phase"": ""prepare"", ""game_phase"": 1, ""tick"": 6, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 2}, ""timing"": ""callOnFlip""}",trial_start,,2,10,,,True,
102,marker_ack,6.276778400060721,2,1,prepare,101,2,"{""event_id"": 101, ""code"": 2, ""t_write_host_s"": 6.2767756000394, ""device_micros"": null, ""simulated"": true}",,101,2,,6.2767756000394,,True,
104,marker_done,6.287719200015999,2,1,prepare,101,2,"{""event_id"": 101, ""code"": 2, ""device_micros"": null, ""simulated"": true}",,101,2,,,,True,
116,marker_request,6.394234900013544,2,1,feedback,101,2,"{""name"": ""feedback_start"", ""code"": 3, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 2, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 7, ""phase_blocks"": 0, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0}, ""timing"": ""callOnFlip""}",feedback_start,,3,10,,,True,
117,marker_ack,6.394389600027353,2,1,feedback,116,3,"{""event_id"": 116, ""code"": 3, ""t_write_host_s"": 6.394387400010601, ""device_micros"": null, ""simulated"": true}",,116,3,,6.394387400010601,,True,
119,marker_done,6.40510610002093,2,1,feedback,116,3,"{""event_id"": 116, ""code"": 3, ""device_micros"": null, ""simulated"": true}",,116,3,,,,True,
145,marker_request,6.644336199969985,2,1,result,116,3,"{""name"": ""success"", ""code"": 4, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 2, ""block"": 1, ""phase"": ""result"", ""game_phase"": 4, ""tick"": 9, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}, ""timing"": ""callOnFlip""}",success,,4,10,,,True,
146,marker_ack,6.6443969999672845,2,1,result,145,4,"{""event_id"": 145, ""code"": 4, ""t_write_host_s"": 6.644394200062379, ""device_micros"": null, ""simulated"": true}",,145,4,,6.644394200062379,,True,
148,marker_done,6.6554022000636905,2,1,result,145,4,"{""event_id"": 145, ""code"": 4, ""device_micros"": null, ""simulated"": true}",,145,4,,,,True,
161,marker_request,6.776827899971977,2,1,iti,145,4,"{""name"": ""trial_end"", ""code"": 6, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 2, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 10, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}, ""timing"": ""callOnFlip""}",trial_end,,6,10,,,True,
163,marker_ack,6.77690379996784,2,1,iti,161,6,"{""event_id"": 161, ""code"": 6, ""t_write_host_s"": 6.776901300065219, ""device_micros"": null, ""simulated"": true}",,161,6,,6.776901300065219,,True,
165,marker_done,6.786987400031649,2,1,iti,161,6,"{""event_id"": 161, ""code"": 6, ""device_micros"": null, ""simulated"": true}",,161,6,,,,True,
