id,kind,t_host_s,trial,block,phase,last_marker_request_id,last_marker_code,payload_json,temperature,voltage,raw,line,error
1,grip,5.483354400028475,0,1,idle,,,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.483354400028475}",25.0,0.81,0.81,"25,0.81",
2,grip,5.493846600060351,0,1,idle,,,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.493846600060351}",25.0,0.81,0.81,"25,0.81",
4,grip,5.503906300058588,0,1,pre_run,,,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.503906300058588}",25.0,0.81,0.81,"25,0.81",
5,grip,5.514435900026001,0,1,pre_run,,,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.514435900026001}",25.0,0.81,0.81,"25,0.81",
6,grip,5.52451470005326,0,1,pre_run,,,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.52451470005326}",25.0,0.81,0.81,"25,0.81",
7,grip,5.535583900054917,0,1,pre_run,,,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.535583900054917}",25.0,0.81,0.81,"25,0.81",
8,grip,5.54567650007084,0,1,pre_run,,,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.54567650007084}",25.0,0.81,0.81,"25,0.81",
9,grip,5.55651340004988,0,1,pre_run,,,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.55651340004988}",25.0,0.81,0.81,"25,0.81",
10,grip,5.566733099985868,0,1,pre_run,,,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.566733099985868}",25.0,0.81,0.81,"25,0.81",
11,grip,5.577184100053273,0,1,pre_run,,,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.577184100053273}",25.0,0.81,0.81,"25,0.81",
12,grip,5.587428800063208,0,1,pre_run,,,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.587428800063208}",25.0,0.81,0.81,"25,0.81",
13,grip,5.597495199996047,0,1,pre_run,,,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.597495199996047}",25.0,0.81,0.81,"25,0.81",
14,grip,5.607553499983624,0,1,pre_run,,,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.607553499983624}",25.0,0.81,0.81,"25,0.81",
17,grip,5.617605800041929,0,1,pre_run,15,1,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.617605800041929}",25.0,0.81,0.81,"25,0.81",
19,grip,5.62774210004136,0,1,pre_run,15,1,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.62774210004136}",25.0,0.81,0.81,"25,0.81",
21,grip,5.637835500063375,1,1,prepare,15,1,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.637835500063375}",25.0,0.81,0.81,"25,0.81",
24,grip,5.64788679999765,1,1,prepare,22,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.64788679999765}",25.0,0.81,0.81,"25,0.81",
26,grip,5.658788100001402,1,1,prepare,22,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.658788100001402}",25.0,0.81,0.81,"25,0.81",
27,grip,5.668895800015889,1,1,prepare,22,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.668895800015889}",25.0,0.81,0.81,"25,0.81",
28,grip,5.679222000064328,1,1,prepare,22,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.679222000064328}",25.0,0.81,0.81,"25,0.81",
29,grip,5.68929999996908,1,1,prepare,22,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.68929999996908}",25.0,0.81,0.81,"25,0.81",
30,grip,5.699396100011654,1,1,prepare,22,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.699396100011654}",25.0,0.81,0.81,"25,0.81",
31,grip,5.709800300071947,1,1,prepare,22,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.709800300071947}",25.0,0.81,0.81,"25,0.81",
32,grip,5.7198955999920145,1,1,prepare,22,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.7198955999920145}",25.0,0.81,0.81,"25,0.81",
33,grip,5.729949500062503,1,1,prepare,22,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.729949500062503}",25.0,0.81,0.81,"25,0.81",
34,grip,5.740011399961077,1,1,prepare,22,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.740011399961077}",25.0,0.81,0.81,"25,0.81",
36,grip,5.750064800027758,1,1,feedback,22,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.750064800027758}",25.0,0.81,0.81,"25,0.81",
37,grip,5.760446900036186,1,1,feedback,22,2,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.760446900036186}",25.0,0.81,0.81,"25,0.81",
40,grip,5.770502400002442,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.770502400002442}",25.0,0.81,0.81,"25,0.81",
42,grip,5.780624400009401,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.780624400009401}",25.0,0.81,0.81,"25,0.81",
43,grip,5.7910969000076875,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.7910969000076875}",25.0,0.81,0.81,"25,0.81",
44,grip,5.80124749999959,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.80124749999959}",25.0,0.81,0.81,"25,0.81",
45,grip,5.813571200007573,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.813571200007573}",25.0,0.81,0.81,"25,0.81",
46,grip,5.823625599965453,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.823625599965453}",25.0,0.81,0.81,"25,0.81",
47,grip,5.834451499977149,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.834451499977149}",25.0,0.81,0.81,"25,0.81",
48,grip,5.847253700019792,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.847253700019792}",25.0,0.81,0.81,"25,0.81",
49,grip,5.857489499961957,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.857489499961957}",25.0,0.81,0.81,"25,0.81",
50,grip,5.868110000039451,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.868110000039451}",25.0,0.81,0.81,"25,0.81",
52,grip,5.878319300012663,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.878319300012663}",25.0,0.81,0.81,"25,0.81",
53,grip,5.888723900076002,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.888723900076002}",25.0,0.81,0.81,"25,0.81",
54,grip,5.8987859999760985,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.8987859999760985}",25.0,0.81,0.81,"25,0.81",
55,grip,5.909687399980612,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.909687399980612}",25.0,0.81,0.81,"25,0.81",
56,grip,5.920217200065963,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.920217200065963}",25.0,0.81,0.81,"25,0.81",
57,grip,5.930490700062364,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.930490700062364}",25.0,0.81,0.81,"25,0.81",
58,grip,5.940724699990824,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.940724699990824}",25.0,0.81,0.81,"25,0.81",
59,grip,5.951620800071396,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.951620800071396}",25.0,0.81,0.81,"25,0.81",
60,grip,5.961743599968031,1,1,feedback,38,3,"{""temperature"": 25.0, ""voltage"": 0.81, ""raw"": 0.81, ""line"": ""25,0.81"", ""t"": 5.961743599968031}",25.0,0.81,0.81,"25,0.81",
