id,kind,t_host_s,trial,block,phase,last_marker_request_id,last_marker_code,payload_json,tick,game_phase,x,y,vy,raw,normalized,smoothed,result,collision_object,reason,grip_sample_id,scheduled_lateness_s
3,task,5.494297800003551,0,1,pre_run,,,"{""trial"": 0, ""block"": 1, ""phase"": ""pre_run"", ""game_phase"": 0, ""tick"": 1, ""phase_blocks"": 1, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.0, ""normalized"": 0.0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0, ""grip_sample_id"": 2, ""scheduled_lateness_s"": 0.00021520000882446766}",1,0,20.0,50.0,0.0,0.0,0.0,0.0,0,0,,2,0.00021520000882446766
20,task,5.627978399978019,1,1,prepare,15,1,"{""trial"": 1, ""block"": 1, ""phase"": ""prepare"", ""game_phase"": 1, ""tick"": 2, ""phase_blocks"": 1, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.0, ""normalized"": 0.0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0, ""grip_sample_id"": 19, ""scheduled_lateness_s"": 0.00889559998176992}",2,1,20.0,50.0,0.0,0.0,0.0,0.0,0,0,,19,0.00889559998176992
35,task,5.744679900002666,1,1,feedback,22,2,"{""trial"": 1, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 3, ""phase_blocks"": 1, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.0, ""normalized"": 0.0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0, ""grip_sample_id"": 34, ""scheduled_lateness_s"": 0.0005944999866187572}",3,2,20.0,50.0,0.0,0.0,0.0,0.0,0,0,,34,0.0005944999866187572
51,task,5.877445799997076,1,1,feedback,38,3,"{""trial"": 1, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 4, ""phase_blocks"": 2, ""x"": 20.00125, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 1, ""grip_sample_id"": 50, ""scheduled_lateness_s"": 0.008340900065377355}",4,2,20.00125,50.0,0.0,0.81,0,0.0,0,0,,50,0.008340900065377355
64,task,5.99454300000798,1,1,result,38,3,"{""trial"": 1, ""block"": 1, ""phase"": ""result"", ""game_phase"": 4, ""tick"": 5, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2, ""grip_sample_id"": 63, ""scheduled_lateness_s"": 0.0004187000449746847}",5,4,20.002499999999998,50.0,0.0,0.81,0,0.0,1,0,duration,63,0.0004187000449746847
80,task,6.127565499977209,1,1,iti,66,4,"{""trial"": 1, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 6, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2, ""grip_sample_id"": 79, ""scheduled_lateness_s"": 0.008481199969537556}",6,6,20.002499999999998,50.0,0.0,0.81,0,0.0,1,0,duration,79,0.008481199969537556
98,task,6.260327100055292,2,1,prepare,83,6,"{""trial"": 2, ""block"": 1, ""phase"": ""prepare"", ""game_phase"": 1, ""tick"": 7, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 2, ""grip_sample_id"": 97, ""scheduled_lateness_s"": 0.01624320005066693}",7,1,20.002499999999998,50.0,0.0,0.81,0,0.0,0,0,,97,0.01624320005066693
113,task,6.377020900021307,2,1,feedback,101,2,"{""trial"": 2, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 8, ""phase_blocks"": 1, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0, ""grip_sample_id"": 112, ""scheduled_lateness_s"": 0.00793840002734214}",8,2,20.0,50.0,0.0,0.81,0,0.0,0,0,,112,0.00793840002734214
128,task,6.494175700005144,2,1,feedback,116,3,"{""trial"": 2, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 9, ""phase_blocks"": 2, ""x"": 20.00125, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 1, ""grip_sample_id"": 127, ""scheduled_lateness_s"": 7.209996692836285e-05}",9,2,20.00125,50.0,0.0,0.81,0,0.0,0,0,,127,7.209996692836285e-05
142,task,6.627772200037725,2,1,result,116,3,"{""trial"": 2, ""block"": 1, ""phase"": ""result"", ""game_phase"": 4, ""tick"": 10, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2, ""grip_sample_id"": 141, ""scheduled_lateness_s"": 0.008669300004839897}",10,4,20.002499999999998,50.0,0.0,0.81,0,0.0,1,0,duration,141,0.008669300004839897
