id,kind,t_host_s,trial,block,phase,last_marker_request_id,last_marker_code,payload_json,result,reason,feedback_steps,x,y,collision_object
84,trial,6.144454000052065,1,1,iti,83,6,"{""trial"": 1, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 5, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}",1,duration,2,20.002499999999998,50.0,0
162,trial,6.776870500063524,2,1,iti,161,6,"{""trial"": 2, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 10, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}",1,duration,2,20.002499999999998,50.0,0
239,trial,7.394108799984679,3,1,iti,238,6,"{""trial"": 3, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 15, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}",1,duration,2,20.002499999999998,50.0,0
317,trial,8.028142599971034,4,1,iti,316,6,"{""trial"": 4, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 20, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}",1,duration,2,20.002499999999998,50.0,0
394,trial,8.644132400047965,5,1,iti,393,6,"{""trial"": 5, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 25, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}",1,duration,2,20.002499999999998,50.0,0
471,trial,9.261564200045541,6,1,iti,470,6,"{""trial"": 6, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 30, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}",1,duration,2,20.002499999999998,50.0,0
550,trial,9.894690199987963,7,1,iti,549,6,"{""trial"": 7, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 35, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}",1,duration,2,20.002499999999998,50.0,0
628,trial,10.528292300063185,8,1,iti,627,6,"{""trial"": 8, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 40, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}",1,duration,2,20.002499999999998,50.0,0
705,trial,11.14379350002855,9,1,iti,704,6,"{""trial"": 9, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 45, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}",1,duration,2,20.002499999999998,50.0,0
782,trial,11.760500699980184,10,1,iti,781,6,"{""trial"": 10, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 50, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}",1,duration,2,20.002499999999998,50.0,0
